Offset(P)            #Ptr   #Hnd Access Name
0x000000007e217ba0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dot3api.dll
0x000000007e218038      9      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\stobject.dll.mui
0x000000007e2181e8      7      0 R--r-- \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_regsql.exe
0x000000007e218548      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\NlsData0021.dll
0x000000007e218970      8      0 R--rwd \Device\HarddiskVolume1\Program Files\Microsoft Office\CLIPART\PUB60COR\BL00525_.WMF
0x000000007e218f80      8      0 R--r-- \Device\HarddiskVolume1\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_regbrowsers.exe
0x000000007e2194c8      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\QUTIL.DLL
0x000000007e2198c8      7      1 R--rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010009.ci
0x000000007e21a038      2      1 R--rwd \Device\HarddiskVolume1\Users\IEUser\AppData\Roaming\Microsoft\Windows\Printer Shortcuts
0x000000007e21a9f0      8      0 -WDrwd \Device\HarddiskVolume1\Users\IEUser\AppData\Local\VirtualStore\Program Files\Microsoft Office\CLIPART\PUB60COR\AG00021_.GIF
0x000000007e21b1c8      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mobsync.exe
0x000000007e21b6b0      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3127220_SP1~31bf3856ad364e35~x86~~6.1.1.0.mum
0x000000007e21b768      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mssprxy.dll
0x000000007e21c640      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\fvewiz.dll
0x000000007e21cdd0      7      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\ESENT.dll.mui
0x000000007e21d548      9      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\tquery.dll.mui
0x000000007e21e2e8      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-1b0-0
0x000000007e21e400     11      1 RWD--- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\tmp.edb
0x000000007e21e560      8      0 R--r-d \Device\HarddiskVolume1\Windows\diagnostics\scheduled\Maintenance\RS_UserWERQueue.ps1
0x000000007e21e680      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e21ecd8     17      1 -W-r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.8.gthr
0x000000007e21ef00      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\tquery.dll.mui
0x000000007e21f148      9      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\batmeter.dll.mui
0x000000007e21f2a8     10      1 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.000
0x000000007e21f588      8      0 R--rw- \Device\HarddiskVolume1\Users\IEUser\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Magnify.lnk
0x000000007e220c58      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e221930      1      0 R--r-- \Device\HarddiskVolume1\Windows\Prefetch\ReadyBoot\Trace5.fx
0x000000007e222038      6      0 R--rwd \Device\HarddiskVolume1\Users\IEUser\Desktop\x96dbg\release\x32\ldconvert.dll
0x000000007e2228a8      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e222b38      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\inetpp.dll
0x000000007e223d78      3      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000007e225460      1      1 RW---- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000007e225620      1      0 RW---- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000007e2259b0      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000007e225d58      1      0 RW---- \Device\HarddiskVolume1\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb
0x000000007e227240      6      0 R--rwd \Device\HarddiskVolume1\Users\IEUser\Desktop\x96dbg\release\x32\jansson.dll
